DATE,Chapter,Adm2,PROVINCE,Adm3,Municipality,Adm4,BARANGAY,SITE,FAMILIES,INDIVIDUALS,FOOD_TOT,EmRelief_TOT,Shelter_TOT,Ration_2day,Ration_2week,Blankets,MosquitoNet,Jerry_10L,Jerry_20L,PlasticSleepingMat,HygieneKit,KitchenSet,CleaningKit,Tarpaulin,Tent,SRK,BottleWater_1L,Tracing,PSP,HotMeal,PairSlippers,LoafBread,UsedClothes,BathSoap,CGI,Shampoo_2dozen,CashForRelief,Jerry_collapsible,Donor_NOTE,DONOR,PNS_name
1/20/14,Aklan Chapter,604,Aklan,60415,New Washington,60415002,Cawayan,,99,,0,693,99,,,198,,198,,198,99,,,99,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402011,Poblacion,,19,,0,54,19,,,9,,18,,18,9,,,9,,10,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402010,Oquendo,,19,,0,0,19,,,,,,,,,,,,,19,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402009,Morales,,135,,0,518,135,,,93,,166,,166,93,,,93,7,35,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402008,Guanko,,30,,0,108,30,,,18,,36,,36,18,,,18,,12,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402007,Fulgencio,,140,,0,468,140,,,78,,156,,156,78,,,78,9,53,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402006,Feliciano,,117,,0,354,117,,,59,,118,,118,59,,,59,7,51,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402005,Cortes,,132,,0,564,132,,,94,,188,,188,94,,,94,4,34,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402004,Calizo,,139,,0,438,139,,,73,,146,,146,73,,,73,7,59,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402002,Arcangel,,143,,0,546,143,,,91,,182,,182,91,,,91,8,44,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/13/14,Aklan Chapter,604,Aklan,60402,Balete,60402001,Aranas,,154,,0,618,154,,,103,,206,,206,103,,,103,9,42,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/9/14,Aklan Chapter,604,Aklan,60417,Tangalan,60417014,Tondog,,30,,0,270,30,,,60,60,60,,60,30,,,30,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/5/14,Aklan Chapter,604,Aklan,60404,Batan,60404011,Magpag-Ong,,100,,0,900,139,,,200,200,200,,200,100,,,100,,39,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/5/14,Aklan Chapter,604,Aklan,60404,Batan,60404009,Lalab,,100,,0,900,165,,,200,200,200,,200,100,,,100,3,62,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/5/14,Aklan Chapter,604,Aklan,60404,Batan,60404005,Cabugao,,100,,0,900,142,,,200,200,200,,200,100,,,100,8,34,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/5/14,Aklan Chapter,604,Aklan,60404,Batan,60404003,Bay-Ang,,100,,0,900,159,,,200,200,200,,200,100,,,100,9,50,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/4/14,Aklan Chapter,604,Aklan,60404,Batan,60404017,Palay,,100,,0,900,156,,,200,200,200,,200,100,,,100,5,51,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/4/14,Aklan Chapter,604,Aklan,60404,Batan,60404015,Mandong,,101,,0,921,144,,,206,202,206,,206,101,,,101,4,39,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/4/14,Aklan Chapter,604,Aklan,60404,Batan,60404007,Camanci,,100,,0,900,131,,,200,200,200,,200,100,,,100,8,23,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/4/14,Aklan Chapter,604,Aklan,60404,Batan,60404002,Angas,,100,,0,900,152,,,200,200,200,,200,100,,,100,4,48,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
1/4/14,Aklan Chapter,604,Aklan,60404,Batan,60404001,Ambolong,,100,,0,912,139,,,204,200,204,,204,100,,,100,9,30,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/29/13,Aklan Chapter,604,Aklan,60401,Altavas,60401013,Talon,,104,,0,728,201,,,208,,208,,208,104,,,140,5,56,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/29/13,Aklan Chapter,604,Aklan,60401,Altavas,60401008,Lupo,,107,,0,749,135,,,214,,214,,214,107,,,107,4,24,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/29/13,Aklan Chapter,604,Aklan,60401,Altavas,60401006,Linayasan,,95,,0,665,152,,,190,,190,,190,95,,,95,12,45,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/29/13,Aklan Chapter,604,Aklan,60401,Altavas,60401005,Ginictan,,94,,0,658,129,,,188,,188,,188,94,,,94,5,30,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/29/13,Aklan Chapter,604,Aklan,60401,Altavas,60401004,Dalipdip,,101,,0,707,158,,,202,,202,,202,101,,,101,8,49,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/29/13,Aklan Chapter,604,Aklan,60401,Altavas,60401002,Cabugao,,201,,0,1407,315,,,402,,402,,402,201,,,201,11,103,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/29/13,Aklan Chapter,604,Aklan,60401,Altavas,60401001,Cabangila,,99,,0,693,140,,,198,,198,,198,99,,,99,4,37,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413022,Tambuan,,34,,0,34,68,,,,,34,,,,,,34,,34,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413019,San Roque,,32,,0,32,64,,,,,32,,,,,,32,,32,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413018,San Ramon,,42,,0,42,84,,,,,42,,,,,,42,,42,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413016,Rosario,,112,,0,112,224,,,,,112,,,,,,112,,112,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413015,Poblacion,,36,,0,36,72,,,,,36,,,,,,36,,36,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413013,Navitas,,44,,0,44,88,,,,,44,,,,,,44,,44,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413012,Manhanip,,98,,0,98,196,,,,,98,,,,,,98,,98,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413009,Kinalangay Viejo,,45,,0,47,89,,,1,,45,,1,,,,45,,44,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413008,Kinalangay Nuevo,,56,,0,56,112,,,,,56,,,,,,56,,56,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413004,Cabayugan,,33,,0,33,66,,,,,33,,,,,,33,,33,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/21/13,Aklan Chapter,604,Aklan,60413,Malinao,60413003,Bulabud,,31,,0,62,31,,,,,31,,,,31,,31,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/19/13,Aklan Chapter,604,Aklan,60411,Makato,60411014,Mantiguib,,100,,0,300,100,,,100,,100,,100,,,,100,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/19/13,Aklan Chapter,604,Aklan,60411,Makato,60411011,Cayangwan,,100,,0,300,100,,,100,,100,,100,,,,100,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/19/13,Aklan Chapter,604,Aklan,60411,Makato,60411008,Calangcang,,58,,0,174,58,,,58,,58,,58,,,,58,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/19/13,Aklan Chapter,604,Aklan,60411,Makato,60411005,Baybay,,100,,0,300,100,,,100,,100,,100,,,,100,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/16/13,Aklan Chapter,604,Aklan,60403,Banga,60403025,Taba-ao,,150,,0,450,150,,,150,,150,,150,,,,150,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/16/13,Aklan Chapter,604,Aklan,60403,Banga,60403024,Sigcay,,150,,0,450,150,,,150,,150,,150,,,,150,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/16/13,Aklan Chapter,604,Aklan,60403,Banga,60403022,San Isidro,,50,,0,150,50,,,50,,50,,50,,,,50,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/16/13,Aklan Chapter,604,Aklan,60403,Banga,60403011,Lapnag,,100,,0,300,100,,,100,,100,,100,,,,100,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/16/13,Aklan Chapter,604,Aklan,60403,Banga,60403004,Cerrudo,,25,,0,75,25,,,25,,25,,25,,,,25,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/16/13,Aklan Chapter,604,Aklan,60410,Madalag,60410019,Panipiason,,153,,0,496,155,,,160,,180,,156,,,,155,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/13/13,Aklan Chapter,604,Aklan,60415,New Washington,60415017,Tambak,,300,1500,300,0,0,300,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
12/9/13,Aklan Chapter,604,Aklan,60403,Banga,60403003,Badiangan,,200,,0,400,200,,,,,,200,,,200,,200,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/9/13,Aklan Chapter,604,Aklan,60403,Banga,60403004,Cerrudo,,150,,0,300,150,,,,,,150,,,150,,150,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/9/13,Aklan Chapter,604,Aklan,60403,Banga,60403007,Daja Norte,,100,,0,200,100,,,,,,100,,,100,,100,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/9/13,Aklan Chapter,604,Aklan,60403,Banga,60403008,Daja Sur,,50,,0,100,50,,,,,,50,,,50,,50,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/9/13,Aklan Chapter,604,Aklan,60403,Banga,60403006,Daguitan,,50,,0,100,50,,,,,,50,,,50,,50,,,,,,,,,,,,,,,ERU Relief Benelux,IFRC,
12/9/13,Aklan Chapter,604,Aklan,60412,Malay,60412002,Balabag,Ati Village,40,200,40,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
12/9/13,Aklan Chapter,604,Aklan,60412,Malay,60412008,Cubay Sur,Ati Village,165,825,165,83,0,165,,,,,,,,,,,,,,,,,,,83,,,,,,PRC,PRC,
12/9/13,Aklan Chapter,604,Aklan,60416,Numancia,60416011,Joyao-Joyao,,49,236,49,0,0,49,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
12/9/13,Aklan Chapter,604,Aklan,60416,Numancia,60416015,Navitas,,79,390,79,0,0,79,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
12/6/13,Aklan Chapter,604,Aklan,60417,Tangalan,60417008,Panayakan,,190,,190,0,0,190,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
12/6/13,Aklan Chapter,604,Aklan,60417,Tangalan,60417005,Jawili,,180,,180,0,0,180,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
12/4/13,Aklan Chapter,604,Aklan,60416,Numancia,60416006,Bulwang,,200,,200,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
12/3/13,Aklan Chapter,604,Aklan,60416,Numancia,60416002,Aliputos,,214,1047,214,0,0,214,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
11/29/13,Aklan Chapter,604,Aklan,60407,Kalibo,60407015,Tigayon,,214,,214,0,0,214,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/29/13,Aklan Chapter,604,Aklan,60416,Numancia,60416017,Pusiw,,50,,50,0,0,50,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/28/13,Aklan Chapter,604,Aklan,60406,Ibajay,60406006,Aslum,,238,,238,0,0,238,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/27/13,Aklan Chapter,604,Aklan,60415,New Washington,60415013,Poblacion,,53,,53,0,0,53,,,,,,,,,,,,,,,,,,,,,,,,,Dix Agustin,PRC,
11/26/13,Aklan Chapter,604,Aklan,60401,Altavas,60401003,Catmon,,185,,185,0,0,185,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/26/13,Aklan Chapter,604,Aklan,60401,Altavas,60401007,Lumaynay,,196,,196,0,0,196,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/26/13,Aklan Chapter,604,Aklan,60401,Altavas,60401012,Quinasay-an,,116,,116,0,0,116,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408001,Agcawilan,,76,453,76,0,0,76,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408002,Bagto,,31,189,30,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408004,Carugdog,,56,333,56,0,0,56,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408005,Cogon,,39,183,38,0,0,38,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408006,Ibao,,48,288,48,0,0,48,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408007,Mina,,36,78,36,0,0,36,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408008,Poblacion,,32,177,32,0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/25/13,Aklan Chapter,604,Aklan,60408,Lezo,60408012,Tayhawan,,36,183,32,0,0,32,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/22/13,Aklan Chapter,604,Aklan,60409,Libacao,60409017,Ortega,,140,1235,140,0,0,140,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/22/13,Aklan Chapter,604,Aklan,60410,Madalag,60410002,Alas-as,,146,983,146,0,0,146,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/22/13,Aklan Chapter,604,Aklan,60410,Madalag,60410006,Cabilawan,,140,876,140,0,0,140,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/22/13,Aklan Chapter,604,Aklan,60410,Madalag,60410021,San Jose,,202,1342,202,0,0,202,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/22/13,Aklan Chapter,604,Aklan,60410,Madalag,60410025,Tigbawan,,155,983,155,0,0,155,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/20/13,Aklan Chapter,604,Aklan,60415,New Washington,60415012,Pinamuk-an,,505,3064,505,0,0,505,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/19/13,Aklan Chapter,604,Aklan,60404,Batan,60404008,Ipil,,107,421,105,0,0,105,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/19/13,Aklan Chapter,604,Aklan,60404,Batan,60404016,Napti,,212,861,212,0,0,212,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/18/13,Aklan Chapter,604,Aklan,60409,libacao,60409020,Pinonoy,,108,517,108,0,0,108,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/18/13,Aklan Chapter,604,Aklan,60409,libacao,60409023,Rosal,,151,808,147,0,0,147,,,,,,,,,,,,,,,,,,,,,,,,,FRC,PNS,Finnish
11/16/13,Aklan Chapter,604,Aklan,60409,Libacao,60409006,Calamcan,,102,234,98,0,0,98,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/16/13,Aklan Chapter,604,Aklan,60409,Libacao,60409012,Julita,,204,728,204,0,0,204,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/16/13,Aklan Chapter,604,Aklan,60409,Libacao,60409010,Guadalupe,,150,631,147,0,0,147,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/15/13,Aklan Chapter,604,Aklan,60404,Batan,60404020,Tabon,,211,805,200,0,0,200,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/14/13,Aklan Chapter,604,Aklan,60415,New Washington,60415004,Fatima,,231,892,229,0,0,229,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/13/13,Aklan Chapter,604,Aklan,60407,Kalibo,60407011,Mobo,,205,848,203,0,0,203,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/13/13,Aklan Chapter,604,Aklan,60407,Kalibo,60407016,Tinigaw,,112,600,112,0,0,112,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/12/13,Aklan Chapter,604,Aklan,60403,Banga,60403022,San Isidro,,86,337,86,0,0,86,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/12/13,Aklan Chapter,604,Aklan,60403,Banga,60403010,Jumarap,,204,915,204,0,0,204,,,,,,,,,,,,,,,,,,,,,,,,,chapter,PRC,
11/9/13,Aklan Chapter,604,Aklan,60412,Malay,60412014,Poblacion,,643,2831,643,0,0,643,,,,,,,,,,,,,,,,,,,,,,,,,LGU Malay,PRC,
11/9/13,Aklan Chapter,604,Aklan,60412,Malay,60412005,Caticlan,Caticlan Hall and Elementary School,75,321,75,0,0,75,,,,,,,,,,,,,,,,,,,,,,,,,PRC,PRC,
